split	ix_in_split	theorem_id	theorem_title
valid	1053	8009	Secant of Supplementary Angle
valid	562	8095	Secant of Three Right Angles less Angle
valid	800	8008	Cosecant of Complement equals Secant
valid	1103	11059	Secant in terms of Tangent
test	250	17697	Factorial Greater than Square for n Greater than 3
test	721	2038	Factorial Divisible by Binary Root
test	140	4020	Second Derivative of Convex Real Function is Non-Negative
test	333	12011	Derivative at Point of Inflection
test	541	18597	Real Function with Strictly Negative Derivative is Strictly Decreasing
valid	310	6097	Set of Reciprocals of Positive Integers is Nowhere Dense in Reals
test	410	3448	Singleton Set is not Dense-in-itself
test	486	11522	Discrete Space is Separable iff Countable
test	671	11353	Union of Set of Dense-in-itself Sets is Dense-in-itself
valid	101	19659	Probability of Set Difference of Events
valid	280	2073	Disjoint Independent Events means One is Void
test	150	4026	Classical Probability is Probability Measure
valid	1028	19259	Column Equivalence is Equivalence Relation
test	342	1118	Row Equivalence is Equivalence Relation
test	602	4156	Trivial Relation is Largest Equivalence Relation
test	48	8451	Subgroup of Order 1 is Trivial
test	1069	2326	Zero of Power Set with Union
valid	439	16946	GCD of Sum and Difference of Integers
test	951	16947	Greatest Common Divisor divides Lowest Common Multiple
valid	592	12319	Logarithm of Logarithm in terms of Natural Logarithms
test	113	13686	Sum of Squares of Divisors of 24 and 26 are Equal
test	1075	17737	Product of Divisors is Divisor of Product
valid	73	19297	Determinant of Lower Triangular Matrix
valid	427	17927	Set Intersection expressed as Intersection Complement
valid	944	17916	Intersection is Empty and Union is Universe if Sets are Complementary
test	425	8649	Absorption Laws (Set Theory)/Corollary
valid	392	2565	Integers under Multiplication form Countably Infinite Semigroup
test	1103	5031	Idempotent Elements for Integer Multiplication
valid	2	9243	Primitive of Function of Natural Logarithm
valid	197	10909	Reciprocal of Real Number is Non-Zero
test	18	10922	Minus One is Less than Zero
valid	475	10916	Sum of Strictly Positive Real Numbers is Strictly Positive
valid	635	10900	Negative of Sum of Real Numbers/Corollary
valid	1003	490	Field is Subfield of Itself
test	97	17309	Coprimality Relation is Symmetric
test	555	308	Left Operation is Anticommutative
test	292	10217	Elements of Geometric Sequence from One which are Powers of Number
test	712	9081	Concave Real Function is Continuous
test	396	16613	Subtraction has no Identity Element
test	407	18801	Max is Half of Sum Plus Absolute Difference
valid	1111	5480	Category of Monoids is Category
valid	200	16918	Even Integer Plus 5 is Odd
test	549	11398	Identity Matrix is Permutation Matrix
valid	1026	307	Right Operation is Idempotent
valid	327	5842	Pointwise Addition on Real-Valued Functions is Associative
valid	12	15608	Moment Generating Function of Continuous Uniform Distribution
test	524	17183	Moment Generating Function of Discrete Uniform Distribution
test	1113	2144	Condition for Independence of Discrete Random Variables
test	1109	19219	Sine of Integer Multiple of Argument/Formulation 2
test	1096	8893	Conditions on Rational Solution to Polynomial Equation
test	1042	6737	Conjunction Equivalent to Negation of Implication of Negative/Formulation 1/Proof
test	1037	15917	Distance between Two Parallel Straight Lines is Everywhere the Same
test	1014	19464	Derivative of Exponential of Function
test	1001	14216	Reciprocal of 8
test	976	14189	2-Digit Permutable Primes
test	961	16956	Minimum Area of Triangle whose Vertices are Lattice Points
test	893	15924	Rectangles with Equal Bases and Equal Altitudes are Congruent
test	835	6819	False Statement implies Every Statement/Formulation 1/Proof 1
test	822	15733	Sum of Sequence of n by 2 to the Power of n
test	785	18115	Intersection of Plane with Sphere is Circle
test	778	19242	Trace of Sum of Matrices is Sum of Traces
test	740	17592	Geometric Mean of two Positive Real Numbers is Between them
test	690	11079	Sign of Cotangent
test	672	13714	Smallest Non-Palindromic Number with Palindromic Square
test	641	11402	Equivalence of Definitions of Non-Invertible Matrix
test	453	13426	11 is Only Palindromic Prime with Even Number of Digits
test	375	2071	Pairwise Independence does not imply Independence
test	261	16596	Set of Even Integers is Equivalent to Set of Integers
test	234	4095	Function is Odd Iff Inverse is Odd
test	139	17034	Sum of Two Fifth Powers
test	17	17208	Median of Exponential Distribution
valid	710	17117	Equation for Perpendicular Bisector of Two Points
valid	699	17674	Linear Combination of Gaussian Random Variables
valid	432	17628	Sum of Squares of Standard Gaussian Random Variables has Chi-Squared Distribution
valid	415	19471	Derivative of Even Function is Odd
valid	217	17105	Area of Quadrilateral in Determinant Form
valid	165	8809	Triangle Inequality/Complex Numbers/General Result
valid	112	874	Internal Angles of Square
valid	44	19214	System of Simultaneous Equations may have Multiple Solutions
valid	28	13425	Fundamental Theorem of Line Integrals
test	881	19681	Scalar Multiplication by Zero gives Zero Vector
test	717	5851	Pointwise Multiplication on Integer-Valued Functions is Associative
test	360	4120	Linear Subspace is Convex Set
valid	837	18513	Infimum of Subset of Real Numbers May or May Not be in Subset
valid	652	11360	Conditional and Inverse are not Equivalent
valid	548	11077	Sign of Cosecant
valid	797	8092	Cosecant of Angle plus Three Right Angles
valid	535	18722	Power of Random Variable with Continuous Uniform Distribution has Beta Distribution
valid	462	11407	Exclusive Or as Conjunction of Disjunctions
valid	604	1886	Adding Edge to Tree Creates One Cycle
valid	441	8671	Equality of Complex Numbers
valid	403	6918	Norm of Vector Cross Product
